# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Sat, 2015-10-03 12:49:13
# energy calib 0: 0
# energy calib 1: 0.125
# energy calib 2: 0
# live time (s): 9785.77
# real time (s): 10800.00
# column_1	column_2
42.000000	1129.000000
42.125000	1166.000000
42.250000	1169.000000
42.375000	1187.000000
42.500000	1156.000000
42.625000	1218.000000
42.750000	1162.000000
42.875000	1158.000000
43.000000	1129.000000
43.125000	1096.000000
43.250000	1187.000000
43.375000	1025.000000
43.500000	1150.000000
43.625000	1157.000000
43.750000	1048.000000
43.875000	1083.000000
44.000000	1004.000000
44.125000	1087.000000
44.250000	1071.000000
44.375000	1080.000000
44.500000	1075.000000
44.625000	1065.000000
44.750000	1040.000000
44.875000	1041.000000
45.000000	1006.000000
45.125000	1011.000000
45.250000	1028.000000
45.375000	1041.000000
45.500000	1074.000000
45.625000	1028.000000
45.750000	958.000000
45.875000	1015.000000
46.000000	992.000000
46.125000	986.000000
46.250000	1012.000000
46.375000	989.000000
46.500000	937.000000
46.625000	1011.000000
46.750000	957.000000
46.875000	986.000000
47.000000	941.000000
47.125000	954.000000
47.250000	924.000000
47.375000	913.000000
47.500000	954.000000
47.625000	942.000000
47.750000	924.000000
47.875000	929.000000
48.000000	915.000000
48.125000	923.000000
48.250000	949.000000
48.375000	958.000000
48.500000	851.000000
48.625000	931.000000
48.750000	919.000000
48.875000	906.000000
49.000000	949.000000
49.125000	873.000000
49.250000	888.000000
49.375000	910.000000
49.500000	898.000000
49.625000	863.000000
49.750000	874.000000
49.875000	876.000000
50.000000	912.000000
50.125000	836.000000
50.250000	865.000000
50.375000	910.000000
50.500000	880.000000
50.625000	875.000000
50.750000	817.000000
50.875000	918.000000
51.000000	884.000000
51.125000	878.000000
51.250000	897.000000
51.375000	843.000000
51.500000	876.000000
51.625000	911.000000
51.750000	806.000000
51.875000	841.000000
52.000000	870.000000
52.125000	880.000000
52.250000	927.000000
52.375000	874.000000
52.500000	860.000000
52.625000	873.000000
52.750000	882.000000
52.875000	832.000000
53.000000	839.000000
53.125000	855.000000
53.250000	838.000000
53.375000	810.000000
53.500000	874.000000
53.625000	859.000000
53.750000	845.000000
53.875000	855.000000
54.000000	840.000000
54.125000	833.000000
54.250000	808.000000
54.375000	797.000000
54.500000	822.000000
54.625000	814.000000
54.750000	777.000000
54.875000	757.000000
55.000000	807.000000
55.125000	807.000000
55.250000	768.000000
55.375000	798.000000
55.500000	806.000000
55.625000	713.000000
55.750000	764.000000
55.875000	764.000000
56.000000	747.000000
56.125000	738.000000
56.250000	698.000000
56.375000	716.000000
56.500000	759.000000
56.625000	741.000000
56.750000	724.000000
56.875000	743.000000
57.000000	714.000000
57.125000	716.000000
57.250000	694.000000
57.375000	725.000000
57.500000	723.000000
57.625000	709.000000
57.750000	723.000000
57.875000	723.000000
58.000000	686.000000
58.125000	736.000000
58.250000	713.000000
58.375000	723.000000
58.500000	709.000000
58.625000	701.000000
58.750000	707.000000
58.875000	755.000000
59.000000	747.000000
59.125000	714.000000
59.250000	750.000000
59.375000	770.000000
59.500000	758.000000
59.625000	776.000000
59.750000	720.000000
59.875000	771.000000
60.000000	769.000000
60.125000	745.000000
60.250000	816.000000
60.375000	822.000000
60.500000	775.000000
60.625000	795.000000
60.750000	805.000000
60.875000	793.000000
61.000000	805.000000
61.125000	816.000000
61.250000	853.000000
61.375000	824.000000
61.500000	834.000000
61.625000	784.000000
61.750000	759.000000
61.875000	821.000000
62.000000	816.000000
62.125000	825.000000
62.250000	815.000000
62.375000	806.000000
62.500000	756.000000
62.625000	787.000000
62.750000	798.000000
62.875000	756.000000
63.000000	749.000000
63.125000	819.000000
63.250000	778.000000
63.375000	748.000000
63.500000	784.000000
63.625000	758.000000
63.750000	739.000000
63.875000	713.000000
64.000000	722.000000
64.125000	759.000000
64.250000	755.000000
64.375000	713.000000
64.500000	708.000000
64.625000	735.000000
64.750000	681.000000
64.875000	627.000000
65.000000	643.000000
65.125000	682.000000
65.250000	628.000000
65.375000	629.000000
65.500000	645.000000
65.625000	580.000000
65.750000	614.000000
65.875000	602.000000
66.000000	630.000000
66.125000	546.000000
66.250000	564.000000
66.375000	556.000000
66.500000	562.000000
66.625000	522.000000
66.750000	531.000000
66.875000	542.000000
67.000000	483.000000
67.125000	529.000000
67.250000	462.000000
67.375000	490.000000
67.500000	507.000000
67.625000	437.000000
67.750000	498.000000
67.875000	486.000000
68.000000	482.000000
68.125000	455.000000
68.250000	456.000000
68.375000	477.000000
68.500000	481.000000
68.625000	449.000000
68.750000	435.000000
68.875000	463.000000
69.000000	477.000000
69.125000	453.000000
69.250000	461.000000
69.375000	450.000000
69.500000	423.000000
69.625000	462.000000
69.750000	457.000000
69.875000	481.000000
70.000000	435.000000
70.125000	448.000000
70.250000	470.000000
70.375000	450.000000
70.500000	443.000000
70.625000	401.000000
70.750000	419.000000
70.875000	442.000000
71.000000	430.000000
71.125000	464.000000
71.250000	480.000000
71.375000	415.000000
71.500000	448.000000
71.625000	418.000000
71.750000	408.000000
71.875000	465.000000
72.000000	401.000000
72.125000	403.000000
72.250000	410.000000
72.375000	415.000000
72.500000	436.000000
72.625000	426.000000
72.750000	410.000000
72.875000	442.000000
73.000000	410.000000
73.125000	433.000000
73.250000	406.000000
73.375000	412.000000
73.500000	481.000000
73.625000	385.000000
73.750000	469.000000
73.875000	428.000000
74.000000	435.000000
74.125000	413.000000
74.250000	413.000000
74.375000	393.000000
74.500000	418.000000
74.625000	399.000000
74.750000	467.000000
74.875000	403.000000
75.000000	386.000000
75.125000	442.000000
75.250000	422.000000
75.375000	399.000000
75.500000	394.000000
75.625000	451.000000
75.750000	445.000000
75.875000	437.000000
76.000000	407.000000
76.125000	410.000000
76.250000	416.000000
76.375000	383.000000
76.500000	413.000000
76.625000	422.000000
76.750000	444.000000
76.875000	377.000000
77.000000	394.000000
77.125000	380.000000
77.250000	410.000000
77.375000	425.000000
77.500000	404.000000
77.625000	385.000000
77.750000	407.000000
77.875000	422.000000
78.000000	405.000000
78.125000	385.000000
78.250000	397.000000
78.375000	377.000000
78.500000	413.000000
78.625000	377.000000
78.750000	410.000000
78.875000	420.000000
79.000000	398.000000
79.125000	399.000000
79.250000	361.000000
79.375000	400.000000
79.500000	409.000000
79.625000	427.000000
79.750000	381.000000
79.875000	407.000000
80.000000	368.000000
80.125000	383.000000
80.250000	393.000000
80.375000	341.000000
80.500000	386.000000
80.625000	399.000000
80.750000	384.000000
80.875000	359.000000
81.000000	374.000000
81.125000	402.000000
81.250000	386.000000
81.375000	366.000000
81.500000	353.000000
81.625000	367.000000
81.750000	402.000000
81.875000	334.000000
82.000000	347.000000
82.125000	334.000000
82.250000	337.000000
82.375000	370.000000
82.500000	365.000000
82.625000	345.000000
82.750000	331.000000
82.875000	359.000000
83.000000	344.000000
83.125000	332.000000
83.250000	333.000000
83.375000	383.000000
83.500000	314.000000
83.625000	345.000000
83.750000	345.000000
83.875000	373.000000
84.000000	314.000000
84.125000	335.000000
84.250000	327.000000
84.375000	379.000000
84.500000	293.000000
84.625000	348.000000
84.750000	324.000000
84.875000	333.000000
85.000000	306.000000
85.125000	330.000000
85.250000	318.000000
85.375000	341.000000
85.500000	324.000000
85.625000	318.000000
85.750000	347.000000
85.875000	326.000000
86.000000	322.000000
86.125000	316.000000
86.250000	342.000000
86.375000	299.000000
86.500000	335.000000
86.625000	316.000000
86.750000	317.000000
86.875000	306.000000
87.000000	330.000000
87.125000	307.000000
87.250000	342.000000
87.375000	337.000000
87.500000	338.000000
87.625000	309.000000
87.750000	297.000000
87.875000	341.000000
88.000000	300.000000
88.125000	333.000000
88.250000	323.000000
88.375000	302.000000
88.500000	305.000000
88.625000	314.000000
88.750000	319.000000
88.875000	324.000000
89.000000	327.000000
89.125000	291.000000
89.250000	340.000000
89.375000	303.000000
89.500000	329.000000
89.625000	354.000000
89.750000	313.000000
89.875000	325.000000
90.000000	313.000000
90.125000	348.000000
90.250000	344.000000
90.375000	315.000000
90.500000	356.000000
90.625000	335.000000
90.750000	320.000000
90.875000	355.000000
91.000000	359.000000
